2015-12-17 15:03:38.7606|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 335 at ICommittedFileForklift.cs:59 after blocking 0.0072071s
2015-12-17 15:03:38.7606|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 336 at ICommittedFileForklift.cs:59 after waiting 0.4805224s
2015-12-17 15:03:38.7606|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 336 at ICommittedFileForklift.cs:59 after blocking 0.0048724s
2015-12-17 15:03:38.7606|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 337 at ICommittedFileForklift.cs:59 after waiting 0.4815198s
2015-12-17 15:03:38.7736|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 337 at ICommittedFileForklift.cs:59 after blocking 0.0078734s
2015-12-17 15:03:38.7736|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 338 at ICommittedFileForklift.cs:59 after waiting 0.4857893s
2015-12-17 15:03:38.7736|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 338 at ICommittedFileForklift.cs:59 after blocking 0.004843s
2015-12-17 15:03:38.7736|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 339 at ICommittedFileForklift.cs:59 after waiting 0.4871471s
2015-12-17 15:03:38.7736|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 339 at ICommittedFileForklift.cs:59 after blocking 0.0060807s
2015-12-17 15:03:38.7736|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 340 at ICommittedFileForklift.cs:59 after waiting 0.4898029s
2015-12-17 15:03:38.7896|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 340 at ICommittedFileForklift.cs:59 after blocking 0.0048118s
2015-12-17 15:03:38.7896|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 341 at ICommittedFileForklift.cs:59 after waiting 0.4910057s
2015-12-17 15:03:38.7896|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 341 at ICommittedFileForklift.cs:59 after blocking 0.0057391s
2015-12-17 15:03:38.7896|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 342 at ICommittedFileForklift.cs:59 after waiting 0.4931776s
2015-12-17 15:03:38.7896|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 342 at ICommittedFileForklift.cs:59 after blocking 0.005117s
2015-12-17 15:03:38.7896|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 343 at ICommittedFileForklift.cs:59 after waiting 0.4947444s
2015-12-17 15:03:38.8066|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 343 at ICommittedFileForklift.cs:59 after blocking 0.0061645s
2015-12-17 15:03:38.8066|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 344 at ICommittedFileForklift.cs:59 after waiting 0.4972831s
2015-12-17 15:03:38.8066|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 344 at ICommittedFileForklift.cs:59 after blocking 0.0064619s
2015-12-17 15:03:38.8066|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 345 at ICommittedFileForklift.cs:59 after waiting 0.4998602s
2015-12-17 15:03:38.8186|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 345 at ICommittedFileForklift.cs:59 after blocking 0.0053562s
2015-12-17 15:03:38.8186|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 346 at ICommittedFileForklift.cs:59 after waiting 0.5014592s
2015-12-17 15:03:38.8186|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 346 at ICommittedFileForklift.cs:59 after blocking 0.0077016s
2015-12-17 15:03:38.8186|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 347 at ICommittedFileForklift.cs:59 after waiting 0.5056743s
2015-12-17 15:03:38.8186|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 347 at ICommittedFileForklift.cs:59 after blocking 0.0054059s
2015-12-17 15:03:38.8326|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 348 at ICommittedFileForklift.cs:59 after waiting 0.5074085s
2015-12-17 15:03:38.8326|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 348 at ICommittedFileForklift.cs:59 after blocking 0.0046876s
2015-12-17 15:03:38.8326|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 349 at ICommittedFileForklift.cs:59 after waiting 0.5084019s
2015-12-17 15:03:38.8326|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 349 at ICommittedFileForklift.cs:59 after blocking 0.004717s
2015-12-17 15:03:38.8326|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 350 at GitClient.cs:500 after waiting 0.2772602s
2015-12-17 15:03:38.8536|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 350 at GitClient.cs:500 after blocking 0.0115475s
2015-12-17 15:03:38.8536|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 351 at GitClient.cs:500 after waiting 0.2038568s
2015-12-17 15:03:38.8536|INFO|thread:36|AsyncReaderWriterLock|Released concurrent scheduler for operation: 320 at ICommittedFileForklift.cs:59 after blocking 0.1781731s
2015-12-17 15:03:38.8656|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 351 at GitClient.cs:500 after blocking 0.0123352s
2015-12-17 15:03:39.9526|INFO|thread:13|DashboardViewModel|Selected repository 'ryanramadhan/ryan'
2015-12-17 15:03:39.9526|INFO|thread:13|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 352 at GitClient.cs:631
2015-12-17 15:03:39.9526|INFO|thread:13|AsyncReaderWriterLock|Acquiring exclusive scheduler for operation 353 at GitClient.cs:609
2015-12-17 15:03:39.9526|INFO|thread:34|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 352 at GitClient.cs:631 after waiting 0.0003079s
2015-12-17 15:03:39.9526|INFO|thread:50|AsyncReaderWriterLock|Released concurrent scheduler for operation: 352 at GitClient.cs:631 after blocking 0.0029452s
2015-12-17 15:03:39.9526|INFO|thread:34|AsyncReaderWriterLock|Acquired exclusive scheduler for operation: 353 at GitClient.cs:609 after waiting 0.0032552s
2015-12-17 15:03:40.0896|INFO|thread:34|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 354 at GitClient.cs:626
2015-12-17 15:03:40.1156|INFO|thread:34|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 355 at GitClient.cs:224
2015-12-17 15:03:40.1156|INFO|thread:34|DashboardViewModel|Took 162ms to Create RepositoryViewModel for location C:\Users\Suntin\ryan
2015-12-17 15:03:40.1156|INFO|thread:34|AsyncReaderWriterLock|Released exclusive scheduler for operation: 353 at GitClient.cs:609 after blocking 0.1593216s
2015-12-17 15:03:40.1156|INFO|thread:27|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 355 at GitClient.cs:224 after waiting 0.0004472s
2015-12-17 15:03:40.1156|INFO|thread:34|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 354 at GitClient.cs:626 after waiting 0.0261891s
2015-12-17 15:03:40.1156|INFO|thread:27|GitClient|Loading commits for repo: C:\Users\Suntin\ryan
2015-12-17 15:03:40.1156|INFO|thread:34|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 356 at RepositoryViewModel.cs:328
2015-12-17 15:03:40.1156|INFO|thread:34|AsyncReaderWriterLock|Released concurrent scheduler for operation: 354 at GitClient.cs:626 after blocking 0.0037459s
2015-12-17 15:03:40.1156|INFO|thread:34|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 356 at RepositoryViewModel.cs:328 after waiting 7.73E-05s
2015-12-17 15:03:40.1386|INFO|thread:27|ConcurrentRepositoryConnection|Loaded '4' commits for repo: C:\Users\Suntin\ryan\.
2015-12-17 15:03:40.1386|INFO|thread:27|AsyncReaderWriterLock|Released concurrent scheduler for operation: 355 at GitClient.cs:224 after blocking 0.0231881s
2015-12-17 15:03:40.1386|INFO|thread:41|AsyncReaderWriterLock|Released concurrent scheduler for operation: 356 at RepositoryViewModel.cs:328 after blocking 0.0206312s
2015-12-17 15:03:40.2837|INFO|thread:50|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 357 at GitClient.cs:201
2015-12-17 15:03:40.2837|INFO|thread:50|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 358 at RepositoryModel.cs:596
2015-12-17 15:03:40.2857|INFO|thread:50|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 357 at GitClient.cs:201 after waiting 0.0013051s
2015-12-17 15:03:40.2857|INFO|thread:35|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 358 at RepositoryModel.cs:596 after waiting 0.0011706s
2015-12-17 15:03:40.2857|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 359 at RepositoryModel.cs:596
2015-12-17 15:03:40.2857|INFO|thread:35|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 360 at GitClient.cs:290
2015-12-17 15:03:40.2857|INFO|thread:35|AsyncReaderWriterLock|Released concurrent scheduler for operation: 358 at RepositoryModel.cs:596 after blocking 0.0057306s
2015-12-17 15:03:40.2857|INFO|thread:35|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 359 at RepositoryModel.cs:596 after waiting 0.0056194s
2015-12-17 15:03:40.2857|INFO|thread:39|AsyncReaderWriterLock|Released concurrent scheduler for operation: 359 at RepositoryModel.cs:596 after blocking 0.0048898s
2015-12-17 15:03:40.3027|INFO|thread:35|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 360 at GitClient.cs:290 after waiting 0.0119252s
2015-12-17 15:03:40.3027|INFO|thread:35|GitEnvironment|Process set up with this SSH Agent info: 1360:/tmp/ssh-fzBEuRkudVHG/agent.2128
2015-12-17 15:03:40.3027|INFO|thread:35|GitEnvironment|PATH is C:\Users\Suntin\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Suntin\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Suntin\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Suntin\AppData\Local\Apps\2.0\H3CJB8LZ.A0R\YEMKAXG2.GJL\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\Suntin\AppData\Local\GitHub\lfs-amd64_1.0.2;C:\Program Files (x86)\MSBuild\12.0\bin;C:\Windows\System32
